,Name,date,Earliest appearance,Works featured in,Description
11,Caradoc†,1181.0,,"Perceval, the Story of the Grail, the Mabinogion","Rebelled against Arthur when he first became king, but later supported him, sometimes two characters—Caradoc the Elder (a king) and Caradoc the Younger (a knight)"
45,Pelles,1181.0,,,
117,Elaine of Corbenic,1181.0,"Perceval, the Story of the Grail c. 1181","The Once and Future King; Perceval le Gallois, 1978","Daughter of the Fisher King, mother of Galahad by Lancelot"
118,Blanchefleur,1181.0,"Perceval, the Story of the Grail, c. 1181",,"Percival's wife, niece to Gornemant"
119,"Fisher King, The",1181.0,"Perceval, the Story of the Grail, c. 1181","Queste del Saint Graal, c. 1220; Prose Tristan, c. 1230, The Once and Future King","Guardian of the Holy Grail, Father of Elaine of Corbenic"
120,Orgeluse,1181.0,"Perceval, the Story of the Grail, c. 1181",,A wife of Gawain
121,Red Knight,1181.0,"Perceval, the Story of the Grail, c. 1181",Le Morte d'Arthur,"Appears in many tales, usually as an antagonist"
135,Pellam,1181.0,see Fisher King,,
26,Geneir Gwystyl,1200.0,,,One of King Arthur's knights in the Welsh Arthurian legend[1]
28,Gingalain†,1200.0,,Le Bel Inconnu,Gawain's and Blanchemal's son
30,Griflet†,1200.0,,Jaufré,"The son of Do (or Don), cousin to Sir Lucan and Sir Bedivere"
43,Oberon,1200.0,,,"King of the Fairies, sometimes identified as a son of Morgan le Fay"
47,Penpingion[2],1200.0,,"Culhwch ac Olwen, Geraint fab Erbin","A comic character; one of the gatekeepers at Arthur's court, subservient to Glewlwyd Gafaelfawr.[2] Killed in the hunt for Twrch Trwyth.[3]"
140,Manawydan fab Llyr,1200.0,The Mabinogion,Culhwch and Olwen (circa 1100),Originally a British god; appeared as a knight of Arthur's in Culhwch and Olwen
13,Claudas,1205.0,,"Perlesvaus, Lancelot-Grail, Post-Vulgate Cycle, Le Morte d'Arthur","A Frankish King antagonistic to Arthur, has two sons, Dorin and Claudin"
16,Dindrane,1205.0,,,"Sister (sometimes half-sister) of Percival, plays a large part in many Holy Grail stories"
122,Questing Beast,1210.0,"Perlesvaus, c. 1210","Gerbert's Continuation of Perceval, the Story of the Grail, Post Vulgate Suite du Merlin, Prose Tristan, Le Morte d'Arthur",A strange beast quested after by many knights associated with Pellinore and Palamedes
75,Daniel von Blumenthal†,1220.0,"Daniel von Blumenthal, 1220",,A Knight of the Round Table found in an early German offshoot of Arthurian legend
33,Iseult of Ireland,1230.0,,Tristan and Iseult,Wife of Mark of Cornwall and adulterous lover of Sir Tristan
34,(Queen) Iseult,1230.0,,Tristan and Iseult,Iseult of Ireland's mother
35,Iseult of the White Hands,1230.0,,Tristan and Iseult,"Daughter of Hoel of Brittany, sister of Sir Kahedin, and wife of Tristan"
